OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,AD5DaySlope,AD10DaySlope,SlowStochastic,SlowSto1DaySlope,SlowSto1DayPercentSlope,SlowSto3DaySlope,SlowSto5DaySlope,SlowSto10DaySlope,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,VIX5DaySlope,VIX10DaySlope,VIXSlowStochastic,VIXSlowSto1DaySlope,BuySell
-98680000,985287000,517137000,267513006.1,741259302.6,746931945.6,664848637.2,138661767.6,90.45302084,-3.488291182,-3.713266407,-2.41972147,-1.580685495,3.173728153,10.44,0.12,1.162790698,0.049,-0.094,30.52325581,3.488372093,-1
-134560000,-566785000,-41689000,83178103.03,1619501664,1549717834,1482224943,150015065.4,94.87266438,-3.624552507,-3.679852712,-0.313730775,-0.085398228,1.948708274,10.2,-0.04,-0.390625,-0.004,-0.07369697,15.97444089,-1.277955272,-1
-2278875000,-926665000,-950780000,74708672.73,685930914.7,1132876994,1248562664,171817996.2,90.98968185,-3.882982528,-4.092835964,-3.75376752,-1.435212747,2.526677252,10.18,-0.02,-0.196078431,0.01,-0.099757576,15.33546326,-0.638977636,-1
-2265360000,-2336387000,-1415743000,27508684.85,-301099962.1,206908759.3,664546863.9,150584850.7,81.97915016,-9.010531689,-9.902806017,-6.44675711,-3.454948656,2.416387274,10.58,0.4,3.929273084,0.106,-0.09430303,28.11501597,12.77955272,-1
-2701060000,-2463862000,-2445046000,-95403921.21,-815026852,-525246291.4,-111858367.4,64452136.37,78.81952032,-3.159629844,-3.854187117,-6.085080765,-5.224890735,0.842479126,11.15,0.57,5.387523629,0.22,-0.015454545,46.32587859,18.21086262,-1
2643525000,2752875000,1595900000,409438193.9,484112966.8,478050562.4,-88188428.84,86411063.37,37.24887479,4.292250083,13.02393714,2.688334675,3.795649371,2.186931986,13.99,-0.1,-0.709723208,-0.509,-0.421939352,40.05602241,-0.933706816,-1
2686840000,935015000,1034601000,12079206.06,1376235167,1017145039,1254735584,217841586,75.3356344,1.42434213,1.927096775,1.51652937,5.552831528,8.252246889,13.16,0.21,1.621621622,0.054,-0.65206057,29.95670996,1.818181818,-1
40810000,1085658000,451502000,-7599478.788,698755888.2,705566189.6,689729096.8,132507255.4,66.22607595,-9.109558456,-12.09196488,-3.84260816,-1.014463618,6.56326463,13.48,0.32,2.431610942,0.281,-0.498545485,32.72727273,2.770562771,-1
2832975000,2993146000,3022593000,334833418.2,1140479644,374788211.7,742734282.9,110491348.9,98.70604344,2.662997969,2.77271296,1.782959145,2.216766533,0.613154334,13.29,0.51,3.990610329,-0.053,-0.039757576,58.28025478,16.24203822,-1
-100260000,1091843000,1779001000,419129563.6,610451245.3,682699566,324831970.6,208596895.6,90.98911791,-7.716925523,-7.818088188,-2.52696378,-0.998959832,0.792824955,13.63,0.34,2.558314522,0.184,-0.01569697,69.10828025,10.82802548,-1
462895000,1462429000,1985436000,241167000,-88145513.11,340328911.6,971946583.5,127264767,85.76773394,-2.783572402,-3.143457186,5.47157149,11.78078863,0.913793626,13.42,-0.52,-3.730272597,-0.729,-0.144666636,26.74650699,-10.37924152,-1
196675000,891790000,1415181000,389952806.1,293791625.3,337825496.2,481484776.2,181238776.5,89.25760038,3.489866436,4.068973582,0.35314702,5.488083346,3.4523055,12.85,-0.57,-4.247391952,-0.398,-0.323090867,15.36926148,-11.37724551,-1
-206655000,-580706000,141831000,350587030.3,-750356590.4,-605893458.1,-276642516.3,176716839.2,56.59247397,-32.6651264,-36.59646491,-14.58762999,-3.575793995,3.381817331,14.67,1.82,14.16342412,0.097,-0.310121158,51.69660679,36.32734531,-1
-2855625000,-1143450000,125595000,29176060.61,-1378044847,-517030713.1,445970016.2,-5125626.341,90.89510355,-0.209181627,-0.229606792,-2.719411805,5.057234476,2.585002797,15.63,0.04,0.256574727,-0.1969998,0.057696964,51.44927536,0.579710145,-1
-3308180000,-3096855000,-1874995000,-258962975.8,243535885,-337941318.7,-110633072.2,-103078165.3,86.43337414,-4.461729418,-4.908657611,-2.33545552,-3.188147905,2.44774219,16,0.37,2.367242482,0.14,0.029333339,54.50381679,3.054541432,-1
-178885000,-1370395000,-1875440000,-423212090.9,1966182191,885652433.1,283962114.6,-111958921.7,96.06794593,9.634571794,11.14681903,2.58642119,-0.52028735,2.725798262,15.23,-0.77,-4.8125,0.057,-0.016787861,42.7480916,-11.75572519,-1
-247165000,-905920000,-1457915000,-453375806.1,-242067417.1,688174400.6,393823825.4,-76690327.41,69.60393597,-26.46400995,-27.54717996,-8.414719085,-3.782785604,1.878042684,16.950001,1.720001,11.29350624,0.2320002,-0.016727188,69.00764885,26.25955725,-1
-195020000,1905761000,2958205000,603053466.7,-1467057062,-162335027.7,1144516385,374602302.9,19.99840417,-34.54985674,-63.33814527,-9.18994372,6.277874746,3.710763637,26.48,5.029999,23.44987769,0.115,0.101818176,97.06703911,33.20813602,-1
67610000,-630611000,17691000,306755757.6,209239726.3,331027760.2,892353443.5,426448301.5,51.91043609,-6.788965322,-11.5656466,1.15759252,2.948738416,6.262762539,22.719999,2,9.652510118,-0.7230002,-1.077090994,35.26061761,8.760402979,-1
-112500000,1028643000,534551000,-69303939.39,-114879109.7,354143818.4,244814049.4,-137743878.4,54.87859507,-9.244468733,-14.41676081,-0.458702255,2.635729862,0.783237701,24.58,1.799999,7.901663393,-0.0739996,0.207030358,43.10876266,7.926019375,-1
-56360000,-352807000,242271000,28387751.52,2062579571,1497413897,1389559309,9473245.839,98.48574481,-1.457753612,-1.458577731,1.681342735,0.610067131,0.336474026,16.67,0.549999,3.411904255,-0.4330001,-0.140181794,2.709014479,2.56888837,-1
-3478010000,-1511670000,-1224198000,-68308296.97,-310975431.8,802740982,845910062.1,-20452901.01,86.84709228,-11.63865252,-11.81760116,-6.54820307,-1.842683005,-0.292020022,18.879999,2.209999,13.25734253,0.3149999,-0.107090939,18.20545632,15.49644184,-1
-561285000,-1641325000,-942660000,-92110921.21,79145931.66,233513974,794495114.6,-31471506.54,90.18212012,3.335027834,3.840114558,-4.151812345,-2.297828458,-0.815809762,17.73,-1.149999,-6.091096721,0.33,-0.092848503,11.89617795,-6.309278375,-1
-144200000,-654969000,-1233000,174016751.5,-523246130.9,-709721526.6,-539862958.6,42126965.19,50.54820095,-29.92696334,-37.18782509,-8.252957255,-3.309954325,2.001183219,23.209999,4.679998,25.25632891,0.596,-0.124969582,55.96545526,36.73467818,-1
-237000000,-900083000,4515000,62919563.64,-263920942.1,406410947.8,1025394715,-246022828.9,3.644431065,-43.00061896,-92.18688573,-14.68134402,-9.375418698,-5.59975373,26.49,5.100001,23.84292304,0.4940001,0.565999927,94.63636364,46.36364545,-1
-584210000,-1012663000,-182107000,-286157521.2,-947212593.3,-853083613.7,12491598.21,-125919522.4,48.78632989,-26.12159288,-34.87160225,-6.67089497,1.582234536,3.307451735,23.59,2.85,13.7415622,0.1899999,-0.282424321,45.2954088,20.78774465,-1
-177635000,474695000,1411940000,182513418.2,-351721422.5,256709120.1,1152439251,363034589.9,50.23266687,-12.19746866,-19.53778981,-5.68618738,3.579879685,1.977489629,20.26,1.6,8.57449089,-0.0449999,-0.582909036,21.00657031,11.67031279,-1
577495000,2302661000,1238610000,724093430.3,690369806.2,1933531023,1011776430,134758294.8,43.69278242,-5.75895548,-11.64560787,0.4476763,3.023422615,3.05893792,25.99,1.97,8.201498751,-0.6260001,-0.563151503,39.96889269,10.21254589,-1
95680000,1626919000,2322315000,-3351563.636,981801425.3,1742891955,2198676400,119338503.3,54.51615448,0.458403347,0.847988193,3.916634265,6.281788688,1.844476902,22.690001,0.790001,3.607310502,-0.7019999,-0.357636279,6.591349241,4.959202451,-1
-3921640000,-1514636000,42962000,596375.7576,-818295400.6,112438051.6,909619529.6,147222764.9,52.2784498,-2.237704677,-4.104663468,-0.889650665,3.855911391,2.564165676,23.530001,0.84,3.702071234,-0.1399996,-0.351636315,11.86441859,5.273069349,-1
