OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,AD5DaySlope,AD10DaySlope,SlowStochastic,SlowSto1DaySlope,SlowStoSlope,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,VIXSlowStochastic,VIXSlowSto1DaySlope,BuySell
3193200000,3380751000,3605995000,265572866.7,1537811227,1377510827,1181779850,-254732487.7,90.43206014,5.727542369,13.02357813,10.72,-0.21,-1.921317475,17.21068505,-3.115727465,1
3301735000,3254247000,3358932000,520585478.8,1649756199,1717992872,1551065390,-174336468.6,98.20342911,7.771368963,11.1527751,10.02,-0.7,-6.529850746,6.824926829,-10.38575822,1
-231595000,534757000,973534000,193232339.4,-192328313.9,270486434.1,-59533791,57398647.73,71.67150492,15.26203481,-1.554891683,11.19,-1.35,-10.76555024,26.26263005,-19.48052229,1
2950230000,1050915000,1134313000,63342872.73,1164830118,153931265,347054570.7,103171010.8,73.89702208,2.225517153,-1.040578922,11.11,-0.08,-0.714924039,25.10822873,-1.154401321,1
-53810000,1138026000,475884000,10513672.73,934861886,1223452973,529979452.5,171515292.6,72.01779243,-1.879229651,0.362008753,10.89,-0.22,-1.98019802,21.9336251,-3.174603633,1
32435000,608525000,1182304000,41294436.36,1634482599,1204024166,1306697464,228825350.9,89.54494772,17.52715529,6.661724271,10.3,-0.59,-5.417814509,13.41991536,-8.513709742,1
3119645000,1256924000,1232821000,108396018.2,1725315213,1699668173,1390967360,287075503.3,94.07518867,4.530240955,6.045529313,9.9,-0.4,-3.883495146,7.647908752,-5.772006605,1
-313765000,-1472613000,-819130000,8100872.727,68326886.43,-1073791916,-1224593402,-228331244.7,26.61749655,3.311098396,-13.50708158,13.19,-1.07,-7.503506311,51.54027825,-12.67772362,1
2782820000,923803000,-261285000,80731969.7,2019588002,881414082.5,-151027517.8,-156948823.3,54.96062905,28.3431325,-3.855820476,11.35,-1.84,-13.94996209,29.73933297,-21.80094528,1
-3900000,1111854000,429498000,160317363.6,672944383.5,1179019081,700426108.3,-1128990.687,45.01586624,-9.944762818,6.460010774,12.25,0.9,7.929515419,40.40283881,10.66350585,1
-2815940000,-1134846000,-14028000,75811242.42,-1284303440,-199492836.8,428702701.4,90374913.79,37.59764048,-7.418225756,4.698085433,12.23,-0.02,-0.163265306,40.16587202,-0.236966797,1
